415_2,415_4,415_6,415_8,415_10,415_12,415_14,415_16,415_17,415_18,415_19,415_20,415_21,415_22,415_23,415_24,415_25,415_26,415_27,415_28,415_29,415_30,415_31,415_32,415_33,415_34
,,,,,,,,,,SCRT1,KDELR3,,FAM47E,RNF220,,,SLC33A1,CNTNAP2-AS1,CDH23,IGKV1-5,,,,,
,,,,,,,,,,SCRT2,KDM4B,,FAM47E-STBD1,RNU1-24P,,,SLC35A1,COG5,CDH26,IGKV1-6,,,,,
,,,,,,,,,,SCUBE1,KDM6B,,FAM66A,RNU2-41P,,,SLC35C2,COL1A1,CDHR1,IGKV1-8,,,,,
,,,,,,,,,,SDC2,KIAA0319,,FAM66B,RNU4ATAC7P,,,SLC35F3,COL4A4,CDK2AP2P2,IGKV1-12,,,,,
,,,,,,,,,,SDK2,KIAA0513,,FAM66C,RNU6-127P,,,SLC35F5,COL5A1,CDK14,IGKV1-13,,,,,
,,,,,,,,,,SECTM1,KIAA0895L,,FAM66E,RNU6-162P,,,SLC38A8,COL5A1-AS1,CDKN1C,IGKV1-16,,,,,
,,,,,,,,,,SELP,KIAA0930,,FAM72A,RNU6-267P,,,SLC43A1,COL5A3,CDRT7,IGKV1-22,,,,,
,,,,,,,,,,SEMA3F-AS1,KIAA1217,,FAM72C,RNU6-283P,,,SLC46A3,COL6A5,CDRT15P6,IGKV1-33,,,,,
,,,,,,,,,,SEMA4B,KIAA1549L,,FAM76A,RNU6-365P,,,SLC52A2,COL11A2P1,CDRT15P13,IGKV1-39,,,,,
,,,,,,,,,,SEMA5B,KIF1A,,FAM76B,RNU6-473P,,,SLFN11,COL12A1,CDS1,IGKV1D-8,,,,,
,,,,,,,,,,SEPTIN3,KIF5C,,FAM78A,RNU6-590P,,,SLFN12L,COL13A1,CDX2,IGKV1D-17,,,,,
,,,,,,,,,,SEPTIN5,KIF19,,FAM78B,RNU6-811P,,,SLIT3,COL15A1,CDX4,IGKV1D-22,,,,,
,,,,,,,,,,SEPTIN9,KIF21B,,FAM81A,RNU6-821P,,,SMAD2,COL20A1,CDYL2,IGKV1D-27,,,,,
,,,,,,,,,,SERPINA12,KIF26A,,FAM83D,RNU6-848P,,,SMAD4,COL21A1,CEACAM3,IGKV1D-33,,,,,
,,,,,,,,,,SERTAD4,KIF26B,,FAM86B1,RNU6-943P,,,SMAD7,COL22A1,CEACAM4,IGKV1D-37,,,,,
,,,,,,,,,,SERTAD4-AS1,KIFC2,,FAM86B2,RNU6-1049P,,,SMARCA2,COL23A1,CEACAM5,IGKV1D-43,,,,,
,,,,,,,,,,SETD1B,KIFC3,,FAM86B3P,RNU6-1103P,,,SMARCB1,COL27A1,CEACAM6,IGKV1OR2-1,,,,,
,,,,,,,,,,SEZ6,KIR3DX1,,FAM86C1P,RNU6-1131P,,,SMARCE1,COLEC12,CEACAM7,IGKV1OR2-2,,,,,
,,,,,,,,,,SEZ6L,KIRREL2,,FAM86C2P,RNU6-1239P,,,SMCO4,COMP,CEACAM8,IGKV1OR2-108,,,,,
,,,,,,,,,,SF3A2,KIRREL3,,FAM86FP,RNU6-1249P,,,SMIM10L2A,COPS8P2,CEACAM18,IGKV1OR2-118,,,,,
,,,,,,,,,,SFRP5,KIRREL3-AS3,,FAM86GP,RNU6-1268P,,,SMIM10L2B,CORO2B,CEACAM20,IGKV1OR9-1,,,,,
,,,,,,,,,,SFTPC,KISS1,,FAM86MP,RNU6-1320P,,,SMIM13,COX6B2,CEACAM21,IGKV1OR9-2,,,,,
,,,,,,,,,,SGCZ,KISS1R,,FAM98A,RNU7-102P,,,SMIM27,COX10-AS1,CEACAM22P,IGKV1OR10-1,,,,,
,,,,,,,,,,SGSM2,KIZ,,FAM98B,RNU105C,,,SMPD1,COX19,CEACAMP1,IGKV1OR22-5,,,,,
,,,,,,,,,,SH2B2,KLC2,,FAM102A,RNVU1-2A,,,SMPD4,CPA6,CEACAMP3,IGKV2-4,,,,,
,,,,,,,,,,SH2D3C,KLC3,,FAM104A,RNVU1-18,,,SNAP25-AS1,CPAMD8,CEACAMP5,IGKV2-10,,,,,
,,,,,,,,,,SH2D5,KLF10,,FAM104B,RNVU1-26,,,SNAP29,CPHXL,CEACAMP6,IGKV2-18,,,,,
,,,,,,,,,,SH3BP2,KLF13,,FAM107B,RNVU1-28,,,SNAP91,CPLX1,CELF2,IGKV2-19,,,,,
,,,,,,,,,,SH3GL2,KLF14,,FAM110C,ROBO1,,,SNAPC2,CPLX2,CELF4,IGKV2-23,,,,,
,,,,,,,,,,SH3RF3-AS1,KLHDC7A,,FAM111A-DT,ROBO3,,,SNCAIP,CPLX3,CELF5,IGKV2-24,,,,,
,,,,,,,,,,SHANK1,KLHDC7B,,FAM111B,ROPN1L,,,SNHG8,CPLX4,CEND1,IGKV2-26,,,,,
,,,,,,,,,,SHANK2,KLHL17,,FAM114A2,RORA,,,SNTG2,CPNE4,CEND1P1,IGKV2-29,,,,,
,,,,,,,,,,SHANK3,KLHL26,,FAM117A,RORB,,,SNX11,CPNE9,CENPVL1,IGKV2D-10,,,,,
,,,,,,,,,,SHB,KLHL29,,FAM118B,RORB-AS1,,,SNX19,CPQ,CENPVL2,IGKV2D-19,,,,,
,,,,,,,,,,SHC2,KLK1,,FAM122A,RP1,,,SOCS2,CPXM2,CENPVL3,IGKV2D-23,,,,,
,,,,,,,,,,SHD,KLK2,,FAM133B,RPH3A,,,SOWAHA,CPZ,CERS3,IGKV2D-24,,,,,
,,,,,,,,,,SHF,KLK3,,FAM138F,RPH3AL,,,SOX1,CR1L,CERS3-AS1,IGKV2D-28,,,,,
,,,,,,,,,,SHH,KLK4,,FAM149A,RPIA,,,SOX1-OT,CR2,CES1,IGKV2D-29,,,,,
,,,,,,,,,,SHISA2,KLK5,,FAM153B,RPL4P1,,,SOX2-OT,CR381653.1,CES1P1,IGKV2D-40,,,,,
,,,,,,,,,,SHISA7,KLK6,,FAM153CP,RPL7P2,,,SOX3,CR381670.2,CES1P2,IGKV2OR2-7D,,,,,
,,,,,,,,,,SHISA8,KLK7,,FAM155A,RPL7P59,,,SOX11,CR382287.1,CES5A,IGKV2OR22-4,,,,,
,,,,,,,,,,SHISA9,KLK8,,FAM155A-IT1,RPL9P33,,,SOX12,CR383656.1,CFAP45,IGKV3-7,,,,,
,,,,,,,,,,SIGIRR,KLK10,,FAM155B,RPL10AP2,,,SOX14,CR383656.2,CFAP46,IGKV3-11,,,,,
,,,,,,,,,,SIGLEC6,KLK11,,FAM156A,RPL17P45,,,SOX17,CR383656.3,CFAP52,IGKV3-15,,,,,
,,,,,,,,,,SIGLEC10,KLK12,,FAM156B,RPL19P4,,,SOX21,CR383656.4,CFAP53,IGKV3-20,,,,,
,,,,,,,,,,SIGLEC10-AS1,KLK14,,FAM157A,RPL21P111,,,SP4,CR383656.5,CFAP54,IGKV3D-20,,,,,
,,,,,,,,,,SIGLEC16,KLKP1,,FAM160A2,RPL23AP49,,,SP9,CR383656.8,CFAP57,IGKV5-2,,,,,
,,,,,,,,,,SIGLEC17P,KLRG2,,FAM162A,RPL31P35,,,SPAG1,CR383656.10,CFAP61,IGKV6D-41,,,,,
,,,,,,,,,,SIGLEC20P,KNCN,,FAM167A,RPL35AP27,,,SPAG11A,CR383656.12,CFAP65,IGLC1,,,,,
,,,,,,,,,,SIM2,KNDC1,,FAM168A,RPP21,,,SPAG11B,CR383656.13,CFAP70,IGLC2,,,,,
,,,,,,,,,,SIRPB2,KRT2,,FAM169B,RPP30,,,SPAG16,CR383658.1,CFAP74,IGLC3,,,,,
,,,,,,,,,,SIRPB3P,KRT4,,FAM172A,RPRM,,,SPATA7,CR392039.3,CFAP92,IGLC4,,,,,
,,,,,,,,,,SIRPG,KRT5,,FAM174B,RPRML,,,SPATA9,CR392039.4,CFAP299,IGLJ1,,,,,
,,,,,,,,,,SIRT6,KRT6A,,FAM174C,RPS3AP6,,,SPDL1,CR786580.1,CFC1,IGLJ2,,,,,
,,,,,,,,,,SKI,KRT6B,,FAM177A1,RPS3AP42,,,SPECC1,CRACR2A,CFC1B,IGLJ3,,,,,
,,,,,,,,,,SKOR2,KRT6C,,FAM182B,RPS6KA2,,,SPHK1,CRAT37,CHAT,IGLJ5,,,,,
,,,,,,,,,,SLC1A6,KRT15,,FAM185BP,RPS10P20,,,SPIN3,CRCT1,CHCHD4P4,IGLL5,,,,,
,,,,,,,,,,SLC2A6,KRT16,,FAM189A1,RPS24P6,,,SPO11,CREB3L3,CHD5,IGLV1-41,,,,,
,,,,,,,,,,SLC2A9,KRT16P1,,FAM189A2,RPS27AP16,,,SPOCK1,CREB5,CHEK2,IGLV1-47,,,,,
,,,,,,,,,,SLC4A1,KRT16P2,,FAM201A,RPSAP62,,,SPON1,CREG2,CHEK2P1,IGLV1-50,,,,,
,,,,,,,,,,SLC5A2,KRT16P3,,FAM204A,RSPO1,,,SPOP,CRH,CHEK2P2,IGLV3-17,,,,,
,,,,,,,,,,SLC5A10,KRT17,,FAM210B,RSPO2,,,SPR,CRHR1,CHEK2P3,IGLV4-60,,,,,
,,,,,,,,,,SLC6A2,KRT17P1,,FAM214B,RSU1,,,SPRYD3,CRHR2,CHEK2P4,IGLV5-48,,,,,
,,,,,,,,,,SLC6A3,KRT17P2,,FAM217B,RTL1,,,SPSB4,CRIP2,CHGA,IGLV7-43,,,,,
,,,,,,,,,,SLC6A5,KRT17P3,,FAM219A,RTN1,,,SPTA1,CRISP1,CHGB,IGLV7-46,,,,,
,,,,,,,,,,SLC6A7,KRT17P6,,FAM221A,RTN4RL2,,,SPTB,CRISP2,CHN1,IGLV9-49,,,,,
,,,,,,,,,,SLC6A11,KRT34,,FAM225B,RUNX1,,,SPTBN1,CRISP3,CHP1P3,IGLV10-54,,,,,
,,,,,,,,,,SLC6A12,KRT43P,,FAM228B,RUNX1T1,,,SPTBN4,CRLF1,CHP2,IGLVI-20,,,,,
,,,,,,,,,,SLC6A13,KRT73,,FAM230C,RUNX2,,,SRD5A2,CRLF3P1,CHRDL2,IGLVI-38,,,,,
,,,,,,,,,,SLC6A18,KRT73-AS1,,FAM238A,RXFP2,,,SRGAP2-AS1,CRMP1,CHRM2,IGLVI-42,,,,,
,,,,,,,,,,SLC6A19,KRT74,,FAM241A,RYR2,,,SRGAP2B,CRNN,CHRNA2,IGLVIV-66-1,,,,,
,,,,,,,,,,SLC8A2,KRT75,,FAM242A,RYR3,,,SRGAP2C,CROCC,CHRNA3,IGSF1,,,,,
,,,,,,,,,,SLC8A3,KRT76,,FANCC,S100A11,,,SRP68,CROCC2,CHRNA4,IGSF3,,,,,
,,,,,,,,,,SLC9A2,KRT77,,FANCD2P2,SAGE1,,,SSBL3P1,CRYM,CHST1,IGSF21,,,,,
,,,,,,,,,,SLC9A3,KRT78,,FANCF,SAGE2P,,,SSC5D,CSAG1,CHST4,IGSF21-AS1,,,,,
,,,,,,,,,,SLC9A3-AS1,KRT82,,FAP,SALL3,,,SSR4,CSAG2,CHST13,IGSF22,,,,,
,,,,,,,,,,SLC9A3R2,KRT85,,FAR1-IT1,SAMD3,,,SSU72P2,CSAG3,CHST15,IL1F10,,,,,
,,,,,,,,,,SLC9A5,KRT90P,,FAR2P1,SAMSN1,,,SSU72P7,CSAG4,CHSY1,IL9,,,,,
,,,,,,,,,,SLC12A5,KRTAP4-2,,FAR2P2,SAP18P1,,,ST3GAL1,CSF2RB,CIB4,IL15RA,,,,,
,,,,,,,,,,SLC12A7,KRTAP5-5,,FAR2P3,SAYSD1,,,ST6GAL2,CSF2RBP1,CIITA,IL17RB,,,,,
,,,,,,,,,,SLC13A5,KRTAP5-11,,FARP2,SCG3,,,ST8SIA3,CSGALNACT1,CISTR,IL18RAP,,,,,
,,,,,,,,,,SLC15A1,KRTAP5-AS1,,FASN,SCGN,,,ST8SIA6,CSMD1,CLC,IL36A,,,,,
,,,,,,,,,,SLC16A3,KRTAP9-1,,FASTK,SCML1,,,ST18,CSMD2,CLCN1,IL36B,,,,,
,,,,,,,,,,SLC16A5,KRTAP9-7,,FASTKD3,SCN3A,,,STARD6,CSMD2-AS1,CLCN3P1,IL36G,,,,,
,,,,,,,,,,SLC16A8,KRTAP9-8,,FAT3,SCN3B,,,STK4,CSPG5,CLDN3,IL36RN,,,,,
,,,,,,,,,,SLC17A7,KRTAP9-9,,FAT4,SCN8A,,,STK11,CST1,CLDN14,IMMTP1,,,,,
,,,,,,,,,,SLC17A9,KRTAP9-11P,,FBXL5,SCN10A,,,STK31,CST2P1,CLDND1,INA,,,,,
,,,,,,,,,,SLC19A1,KRTAP10-1,,FBXL7,SCN11A,,,STK33,CST4,CLEC2L,INHBA,,,,,
,,,,,,,,,,SLC22A18,KRTAP10-3,,FBXL8,SCNN1B,,,STK35,CST7,CLEC3A,INHCAP,,,,,
,,,,,,,,,,SLC22A31,KRTAP10-4,,FBXO15,SCNN1G,,,STK39,CSTP2,CLEC4D,INMT,,,,,
,,,,,,,,,,SLC24A3,KRTAP10-6,,FBXO16,SDC2,,,STOX2,CT45A1,CLEC4E,INS-IGF2,,,,,
,,,,,,,,,,SLC24A4,KRTAP10-7,,FBXO21,SEC11C,,,STRIP2,CT45A2,CLEC4G,INSYN1-AS1,,,,,
,,,,,,,,,,SLC25A21,KRTAP10-11,,FBXO25,SEC22B4P,,,STUB1,CT45A3,CLEC4GP1,INTS4P2,,,,,
,,,,,,,,,,SLC25A29,KRTAP10-12,,FBXO38,SEC61G,,,STX2,CT45A5,CLEC4M,IPCEF1,,,,,
,,,,,,,,,,SLC25A48,KRTAP10-13P,,FBXO43,SEC61G-DT,,,STYX,CT45A6,CLEC4O,IQCA1L,,,,,
,,,,,,,,,,SLC26A9,KRTAP12-1,,FBXW2,SELE,,,SUCLA2P1,CT45A9,CLEC5A,IQCF2,,,,,
,,,,,,,,,,SLC26A10,KRTAP16-1,,FBXW7,SELENOK,,,SUCLG2-AS1,CT45A10,CLEC6A,IQCF3,,,,,
,,,,,,,,,,SLC29A1,KSR2,,FCGR1A,SELL,,,SUGCT,CT45A11P,CLEC17A,IQCF4P,,,,,
,,,,,,,,,,SLC30A3,L1CAM,,FCGR1CP,SELP,,,SUGT1P3,CT55,CLEC19A,IQCF5,,,,,
,,,,,,,,,,SLC32A1,L3MBTL1,,FCHSD2,SEMA3A,,,SULF1,CTAGE6,CLGN,IQCF5-AS1,,,,,
,,,,,,,,,,SLC34A3,LAIR1,,FCRL4,SEMA3C,,,SULF2,CTAGE8,CLIC5,IRF8,,,,,
,,,,,,,,,,SLC35E4,LAIR2,,FCRLB,SEPTIN14P21,,,SULT1B1,CTAGE15,CLK3P2,IRX1,,,,,
,,,,,,,,,,SLC35F3,LAMA5,,FCSK,SERPINB2,,,SUSD4,CTBP2P4,CLP1,ISM2,,,,,
,,,,,,,,,,SLC35F4,LAMA5-AS1,,FDFT1,SERPINB7,,,SUSD5,CTBP2P6,CLPSL1,ISX,,,,,
,,,,,,,,,,SLC39A4,LAMB3,,FDXR,SERPINB8,,,SV2C,CTBP2P9,CLPSL2,ITGA6-AS1,,,,,
,,,,,,,,,,SLC43A2,LAMC3,,FECH,SERPINB10,,,SVOP,CTCFL,CLRN3,ITGA7,,,,,
,,,,,,,,,,SLC45A3,LARGE1,,FENDRR,SERPINB13,,,SYCE1L,CTD-2194D22.4,CLSTN2,IVL,,,,,
,,,,,,,,,,SLC52A2,LARGE2,,FEZF2,SERTAD4,,,SYCP1,CTD-2297D10.2,CLSTN2-AS1,IZUMO3,,,,,
,,,,,,,,,,SLC66A3,LBHD2,,FGD5-AS1,SERTAD4-AS1,,,SYN2,CTNND2,CLU,JCADP1,,,,,
,,,,,,,,,,SLCO2B1,LBX1,,FGF3,SETD7,,,SYP,CTSG,CLUHP4,JPH2,,,,,
,,,,,,,,,,SLCO4A1,LCE1A,,FGF5,SEZ6L,,,SYS1,CTXND1,CLUHP5,KC6,,,,,
,,,,,,,,,,SLFN11,LCN1,,FGF9,SGCZ,,,SYT9,CU104787.1,CLUHP10,KC877982.1,,,,,
,,,,,,,,,,SLIT1,LCN1P1,,FGF12,SGK3,,,SYT14,CUBNP1,CLVS1,KCNC3,,,,,
,,,,,,,,,,SLIT3,LCN1P2,,FGF12-AS1,SH3BP5L,,,SYT17,CUPIN1P,CLVS2,KCNH4,,,,,
,,,,,,,,,,SLPI,LCN9,,FGF12-AS2,SH3GL2,,,SYTL5,CUX2,CLYBL,KCNIP1,,,,,
,,,,,,,,,,SLURP2,LCN10,,FGF12-AS3,SH3YL1,,,TADA1,CWH43,CLYBL-AS2,KCNIP1-AS1,,,,,
,,,,,,,,,,SMAD7,LCN12,,FGF13,SHANK2,,,TAFA1,CX3CR1,CMA1,KCNJ5,,,,,
,,,,,,,,,,SMARCD3,LCN15,,FGF13-AS1,SHH,,,TAFA4,CXCL12,CMKLR1,KCNJ6,,,,,
,,,,,,,,,,SMIM32,LCNL1,,FGF14,SHISA2,,,TAL1,CXCL14,CMYA5,KCNJ9,,,,,
,,,,,,,,,,SMOC2,LDB3,,FGF14-AS2,SIGLEC17P,,,TANC2,CXCR1,CNDP1,KCNJ10,,,,,
,,,,,,,,,,SMUG1,LDHD,,FGF14-IT1,SIKE1,,,TAP2,CXCR2,CNGA2,KCNJ18,,,,,
,,,,,,,,,,SNAI1,LDLRAD4,,FGF23,SILC1,,,TBC1D5,CXCR4,CNGA3,KCNK18,,,,,
,,,,,,,,,,SNAI3,LDLRAP1,,FGFBP3,SIPA1L2,,,TBC1D15,CXorf49,CNIH3-AS2,KCNMB3P1,,,,,
,,,,,,,,,,SNAI3-AS1,LEF1,,FGFR2,SIRPB2,,,TBC1D17,CXorf49B,CNKSR2,KCNQ2-AS1,,,,,
,,,,,,,,,,SNAPC4,LEMD2,,FGFR3,SIRPB3P,,,TBC1D30,CYP2A6,CNN2P10,KDF1,,,,,
,,,,,,,,,,SNCAIP,LFNG,,FGFR4,SKA1,,,TBC1D31,CYP2A7,CNTFR,KDR,,,,,
,,,,,,,,,,SNCB,LGALS7B,,FGFRL1,SKA2P1,,,TBCA,CYP2A7P1,CNTN1,KEL,,,,,
,,,,,,,,,,SNED1,LGALS17A,,FHL2,SKAP1,,,TBRG1,CYP2A7P2,CNTN2,KIAA0040,,,,,
,,,,,,,,,,SNHG7,LGI2,,FHOD1,SKIDA1,,,TBX3,CYP2A13,CNTN6,KIAA1549L,,,,,
,,,,,,,,,,SNN,LGI3,,FHOD3,SKINT1L,,,TBX18,CYP2B6,CNTNAP2,KIF5A,,,,,
,,,,,,,,,,SNTG2,LGI4,,FIBCD1,SKOR2,,,TBXAS1,CYP2B7P,CNTNAP2-AS1,KIF5C-AS1,,,,,
,,,,,,,,,,SOCS3,LGR5,,FIBP,SLAIN1,,,TC2N,CYP2C8,COG5,KIF6,,,,,
,,,,,,,,,,SOCS5P2,LGR6,,FICD,SLC1A6,,,TCAF1,CYP2C9,COL1A1,KIR2DL1,,,,,
,,,,,,,,,,SOHLH1,LHFPL3,,FIGNL1,SLC2A9,,,TCAF2P1,CYP2C18,COL4A4,KIR2DL3,,,,,
,,,,,,,,,,SORCS2,LHPP,,FIGNL2,SLC6A5,,,TCEANC,CYP2C19,COL5A1,KIR2DL4,,,,,
,,,,,,,,,,SORCS3,LHX1,,FIS1,SLC8A3,,,TCERG1,CYP2E1,COL5A1-AS1,KIR2DP1,,,,,
,,,,,,,,,,SOWAHB,LHX2,,FIZ1,SLC9B1P2,,,TCF4,CYP2F1,COL5A3,KIR2DS4,,,,,
,,,,,,,,,,SOWAHCP5,LHX3,,FJX1,SLC9B1P4,,,TCF24,CYP2S1,COL6A4P1,KIR3DL1,,,,,
,,,,,,,,,,SOX1,LHX4,,FKBP1A,SLC12A5-AS1,,,TCHH,CYP4A11,COL6A5,KIR3DL2,,,,,
,,,,,,,,,,SOX1-OT,LHX5,,FKBP5,SLC18A3,,,TDG,CYP4A22,COL11A2P1,KIR3DL3,,,,,
,,,,,,,,,,SOX2-OT,LHX5-AS1,,FKBP9P1,SLC22A10,,,TDH,CYP4A22-AS1,COL12A1,KIR3DP1,,,,,
,,,,,,,,,,SOX3,LHX6,,FKBP10,SLC23A4P,,,TDP1,CYP4A27P,COL13A1,KISS1,,,,,
,,,,,,,,,,SOX8,LIF,,FLG-AS1,SLC25A5P3,,,TDP2,CYP4A44P,COL15A1,KLF2P1,,,,,
,,,,,,,,,,SOX11,LILRA1,,FLT1,SLC25A21,,,TDRKH,CYP4B1,COL20A1,KLF2P2,,,,,
,,,,,,,,,,SOX17,LILRA2,,FLT3,SLC25A48,,,TEC,CYP4F2,COL21A1,KLF2P3,,,,,
,,,,,,,,,,SOX18,LILRA5,,FLT4,SLC26A5,,,TEDC1,CYP4F3,COL22A1,KLF2P4,,,,,
,,,,,,,,,,SOX21,LILRA6,,FLVCR1,SLC30A3,,,TEKT1,CYP4F8,COL23A1,KLHDC7A,,,,,
,,,,,,,,,,SOX21-AS1,LILRB1,,FLVCR2,SLC30A8,,,TEKT4P2,CYP4F9P,COL26A1,KLK5,,,,,
,,,,,,,,,,SP6,LILRB2,,FLYWCH2,SLC32A1,,,TENM2,CYP4F11,COL27A1,KLK8,,,,,
,,,,,,,,,,SPAG11A,LILRB3,,FMN2,SLC35F3,,,TENM4,CYP4F12,COLEC12,KLK9,,,,,
,,,,,,,,,,SPATA9,LILRB5,,FMNL3,SLC46A3,,,TENT4A,CYP4F22,COMP,KLK10,,,,,
,,,,,,,,,,SPATC1,LIMD1,,FMO7P,SLFN11,,,TERF1,CYP4F23P,COPS8P2,KLK13,,,,,
,,,,,,,,,,SPATC1L,LIMD2,,FMO8P,SLFN12L,,,TESPA1,CYP4F24P,CORO2B,KLK15,,,,,
,,,,,,,,,,SPHK1,LIME1,,FMO9P,SLIT3,,,TEX15,CYP4F27P,COX6B2,KLRG2,,,,,
,,,,,,,,,,SPNS2,LIMS2,,FMO11P,SLPI,,,TEX30,CYP4F30P,COX10-AS1,KMT2C,,,,,
,,,,,,,,,,SPNS3,LINC00029,,FNDC1,SMARCA2,,,TEX264,CYP4F36P,CPA6,KMT5AP1,,,,,
,,,,,,,,,,SPOCK1,LINC00051,,FNDC3A,SMIM41,,,TFAP2A-AS2,CYP4F62P,CPAMD8,KPNA2P1,,,,,
,,,,,,,,,,SPOCK2,LINC00163,,FNDC11,SMPD4,,,TFAP2D,CYP4X1,CPHXL,KRT1,,,,,
,,,,,,,,,,SPON1,LINC00205,,FNIP1,SNAP25-AS1,,,TGFA,CYP4Z1,CPLX1,KRT3,,,,,
,,,,,,,,,,SPON2,LINC00229,,FOLH1,SNAP91,,,THAP2,CYP4Z2P,CPLX2,KRT6A,,,,,
,,,,,,,,,,SPSB4,LINC00261,,FOS,SNCAIP,,,THEM4,CYP11B1,CPLX3,KRT8P7,,,,,
,,,,,,,,,,SPTAN1,LINC00304,,FOSB,SNORA62,,,THOC3,CYP11B2,CPLX4,KRT8P17,,,,,
,,,,,,,,,,SPTB,LINC00334,,FOSL2,SNORA70,,,THORLNC,CYP26A1,CPNE4,KRT8P21,,,,,
,,,,,,,,,,SPTBN4,LINC00368,,FOXA2,SNORD113-7,,,THSD7A,CYP26B1,CPNE9,KRT8P22,,,,,
,,,,,,,,,,SPTBN5,LINC00378,,FOXB1,SNRPGP2,,,THSD7B,CYP26C1,CPQ,KRT8P25,,,,,
,,,,,,,,,,SQSTM1,LINC00391,,FOXC1,SNTG2,,,THUMPD1,CYP27B1,CPXM2,KRT8P49,,,,,
,,,,,,,,,,SRCIN1,LINC00469,,FOXC2,SOCS5P2,,,TIGAR,CYP46A1,CPZ,KRT8P51,,,,,
,,,,,,,,,,SRD5A2,LINC00482,,FOXC2-AS1,SORCS3,,,TIMM10,CYP46A4P,CR1L,KRT9,,,,,
,,,,,,,,,,SRGAP2-AS1,LINC00485,,FOXD1,SOWAHA,,,TIMP2,CYP51A1P2,CR2,KRT10,,,,,
,,,,,,,,,,SRMS,LINC00489,,FOXD2,SOX1,,,TK2,CYRIA,CR381572.2,KRT16P3,,,,,
,,,,,,,,,,SRRM2-AS1,LINC00514,,FOXD3-AS1,SOX2,,,TLE1,CYS1,CR381653.1,KRT16P4,,,,,
,,,,,,,,,,SRRM3,LINC00523,,FOXD4,SOX2-OT,,,TLE3,CYTH4,CR381670.1,KRT16P5,,,,,
,,,,,,,,,,SSBP3,LINC00540,,FOXD4L1,SOX3,,,TLL1,CYTL1,CR381670.2,KRT16P6,,,,,
,,,,,,,,,,SSC5D,LINC00554,,FOXD4L3,SOX5,,,TLL2,DAB1,CR382287.1,KRT17P1,,,,,
,,,,,,,,,,SSNA1,LINC00595,,FOXD4L5,SOX11,,,TLR5,DACH1,CR383656.1,KRT17P4,,,,,
,,,,,,,,,,SSPOP,LINC00620,,FOXD4L6,SOX14,,,TM9SF3,DAO,CR383656.3,KRT20,,,,,
,,,,,,,,,,SSTR2,LINC00658,,FOXF2,SOX17,,,TMA16P1,DAPL1,CR383656.4,KRT24,,,,,
,,,,,,,,,,SSTR3,LINC00661,,FOXG1-AS1,SOX21,,,TMC7,DBH,CR383656.5,KRT25,,,,,
,,,,,,,,,,SSTR5-AS1,LINC00677,,FOXI3,SOX21-AS1,,,TMCC2,DBH-AS1,CR383656.8,KRT27,,,,,
,,,,,,,,,,ST3GAL1,LINC00867,,FOXN3,SP9,,,TMCC3,DBX1,CR383656.10,KRT28,,,,,
,,,,,,,,,,ST6GAL2,LINC00869,,FOXN4,SPAG1,,,TMCO1,DCC,CR383656.13,KRT31,,,,,
,,,,,,,,,,ST8SIA2,LINC00904,,FOXO1,SPAG11A,,,TMED3,DCD,CR383658.1,KRT32,,,,,
,,,,,,,,,,ST8SIA6,LINC00905,,FOXO3,SPAG11B,,,TMEFF2,DCDC2C,CR392039.1,KRT33B,,,,,
,,,,,,,,,,ST18,LINC00937,,FOXO6,SPATA7,,,TMEM9B-AS1,DCHS1,CR392039.3,KRT38,,,,,
,,,,,,,,,,STARD10,LINC00951,,FOXP2,SPATA9,,,TMEM14B,DCLK3,CR392039.4,KRT43P,,,,,
,,,,,,,,,,STAT5A,LINC00955,,FOXP4,SPECC1,,,TMEM17,DDC,CR786580.1,KRT71,,,,,
,,,,,,,,,,STK3,LINC00963,,FP236383.3,SPO11,,,TMEM18-DT,DDC-AS1,CR936218.2,KRT72,,,,,
,,,,,,,,,,STK11,LINC01006,,FP236383.6,SPOCK1,,,TMEM30A,DEFA1,CRACR2A,KRT73-AS1,,,,,
,,,,,,,,,,STK32B,LINC01018,,FP236383.8,SPON1,,,TMEM63C,DEFA1B,CRAT37,KRT74,,,,,
,,,,,,,,,,STK33,LINC01056,,FP236383.9,SPR,,,TMEM67,DEFA3,CRCT1,KRT75,,,,,
,,,,,,,,,,STMN3,LINC01081,,FP236383.10,SPRR2E,,,TMEM68,DEFA4,CREB3L3,KRT76,,,,,
,,,,,,,,,,STPG3,LINC01088,,FP236383.11,SPTA1,,,TMEM72,DEFA5,CREB5,KRT81,,,,,
,,,,,,,,,,STPG3-AS1,LINC01096,,FP236383.12,SPTB,,,TMEM74,DEFA6,CREG2,KRT82,,,,,
,,,,,,,,,,STRA6,LINC01115,,FP236383.13,SPTLC1P4,,,TMEM86A,DEFA7P,CRH,KRT83,,,,,
,,,,,,,,,,STRN4,LINC01118,,FP671120.4,SRD5A2,,,TMEM99,DEFA8P,CRHBP,KRT84,,,,,
,,,,,,,,,,STUB1,LINC01119,,FP671120.9,SRGAP2-AS1,,,TMEM100,DEFA9P,CRHR1,KRT85,,,,,
,,,,,,,,,,STX1A,LINC01134,,FP671120.10,SRGAP2B,,,TMEM108,DEFA10P,CRHR2,KRT86,,,,,
,,,,,,,,,,STX1B,LINC01137,,FP671120.11,SRGAP2C,,,TMEM131,DEFA11P,CRIP2,KRT89P,,,,,
